Director,Actor/Actress,Movies
John Madden,Tom Wilkinson,"['Shakespeare in Love', 'The Best Exotic Marigold Hotel', 'The Debt']"
John Singleton,Tyrese Gibson,"['2 Fast 2 Furious', 'Four Brothers', 'Baby Boy']"
John Waters,Divine,"['Pink Flamingos', 'Hairspray', 'Female Trouble']"
John Woo,Chow Yun-Fat,"['Lat sau san taam', 'Ying hung boon sik', 'Dip huet seung hung']"
Joko Anwar,Tara Basro,"['Impetigore', ""Satan's Slaves"", 'Pengabdi Setan 2: Communion']"
Jon Favreau,Robert Downey Jr.,"['Iron Man', 'Iron Man 2', 'Chef']"
Jon Lucas,Scott Moore,"['Bad Moms', 'A Bad Moms Christmas', '21 & Over', 'Jexi']"
Jon Turteltaub,Nicolas Cage,"['National Treasure', ""The Sorcerer's Apprentice"", 'National Treasure: Book of Secrets']"
Jon Watts,Tom Holland,"['Spider-Man: No Way Home', 'Spider-Man: Homecoming', 'Spider-Man: Far from Home']"
Jonathan Dayton,Valerie Faris,"['Little Miss Sunshine', 'Ruby Sparks', 'Battle of the Sexes']"
Jonathan Levine,Seth Rogen,"['Long Shot', '50/50', 'The Night Before']"
Joseph Kosinski,Miles Teller,"['Top Gun: Maverick', 'Only the Brave', 'Spiderhead']"
Josh Gordon,Will Speck,"['Blades of Glory', 'Lyle, Lyle, Crocodile', 'The Switch', 'Office Christmas Party']"
Judd Apatow,Leslie Mann,"['Knocked Up', 'This Is 40', 'Funny People']"
Judd Apatow,Paul Rudd,"['The 40 Year Old Virgin', 'Knocked Up', 'This Is 40']"
Justin Benson,Aaron Moorhead,"['The Endless', 'The Endless', 'Synchronic', 'Spring', 'Something in the Dirt', 'Something in the Dirt']"
Justin Lin,Jordana Brewster,"['F9', 'Fast & Furious', 'Fast Five']"
Justin Lin,Michelle Rodriguez,"['F9', 'Fast & Furious', 'Furious 6']"
Justin Lin,Paul Walker,"['Fast & Furious', 'Fast Five', 'Furious 6']"
Justin Lin,Vin Diesel,"['F9', 'Fast & Furious', 'Fast Five', 'Furious 6']"
Kar-Wai Wong,Tony Leung Chiu-wai,"['Fa yeung nin wah', 'Chung Hing sam lam', 'Chun gwong ja sit', '2046', 'Yi dai zong shi']"
Keenen Ivory Wayans,Marlon Wayans,"['White Chicks', 'Scary Movie', 'Scary Movie 2', 'Little Man']"
Ken Russell,Oliver Reed,"['The Devils', 'Tommy', 'Women in Love']"
Kenneth Branagh,Kenneth Branagh,"['A Haunting in Venice', 'Death on the Nile', 'Murder on the Orient Express', 'Henry V', 'Much Ado About Nothing', 'Hamlet', ""Mary Shelley's Frankenstein"", 'Jack Ryan: Shadow Recruit', 'Dead Again']"
Kevin Connor,Doug McClure,"['The Land That Time Forgot', 'The People That Time Forgot', ""At the Earth's Core""]"
Kevin Costner,Kevin Costner,"['Horizon: An American Saga - Chapter 1', 'Dances with Wolves', 'Open Range', 'The Postman', 'Horizon: An American Saga - Chapter 2']"
Kevin Greutert,Tobin Bell,"['Saw X', 'Saw 3D', 'Saw VI']"
Kevin Reynolds,Kevin Costner,"['Robin Hood: Prince of Thieves', 'Waterworld', 'Fandango']"
Kevin Smith,Ben Affleck,"['Dogma', 'Chasing Amy', 'Jersey Girl', 'Jay and Silent Bob Reboot']"
Kevin Smith,Brian O'Halloran,"['Clerks', 'Clerks III', 'Clerks II']"
Kevin Smith,Jeff Anderson,"['Clerks', 'Clerks III', 'Clerks II']"
Kyle Balda,Pierre Coffin,"['Despicable Me 3', 'Minions: The Rise of Gru', 'Minions', 'Minions']"
Lana Wachowski,Carrie-Anne Moss,"['The Matrix', 'The Matrix Resurrections', 'The Matrix Reloaded', 'The Matrix Revolutions']"
Lana Wachowski,Hugo Weaving,"['The Matrix', 'The Matrix Reloaded', 'The Matrix Revolutions']"
Lana Wachowski,Keanu Reeves,"['The Matrix', 'The Matrix Resurrections', 'The Matrix Reloaded', 'The Matrix Revolutions']"
Lana Wachowski,Laurence Fishburne,"['The Matrix', 'The Matrix Reloaded', 'The Matrix Revolutions']"
Lana Wachowski,Lilly Wachowski,"['The Matrix', 'The Matrix Reloaded', 'Bound', 'The Matrix Revolutions', 'Jupiter Ascending', 'Speed Racer']"
Larry Charles,Sacha Baron Cohen,"['The Dictator', 'Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan', 'Brüno']"
Lars von Trier,Charlotte Gainsbourg,"['Nymphomaniac: Vol. I', 'Antichrist', 'Melancholia', 'Nymphomaniac: Vol. II']"
Lars von Trier,Stellan Skarsgård,"['Nymphomaniac: Vol. I', 'Nymphomaniac: Vol. II', 'Breaking the Waves']"
Lars von Trier,Willem Dafoe,"['Antichrist', 'Nymphomaniac: Vol. II', 'Manderlay']"
Lawrence Kasdan,Kevin Kline,"['Silverado', 'French Kiss', 'Grand Canyon', 'I Love You to Death']"
Lawrence Kasdan,William Hurt,"['The Big Chill', 'Body Heat', 'I Love You to Death']"
Len Wiseman,Kate Beckinsale,"['Underworld', 'Total Recall', 'Underworld: Evolution']"
Louis Leterrier,Jason Statham,"['Fast X', 'Fast X: Part 2', 'The Transporter', 'Transporter 2']"
Luca Guadagnino,Tilda Swinton,"['Suspiria', 'A Bigger Splash', ""Io sono l'amore""]"
M. Night Shyamalan,Bruce Willis,"['Glass', 'The Sixth Sense', 'Unbreakable']"
Malcolm D. Lee,Tiffany Haddish,"['Girls Trip', 'Night School', 'Girls Trip 2']"
Marc Lawrence,Hugh Grant,"['The Rewrite', 'Two Weeks Notice', 'Music and Lyrics']"
Mark Neveldine,Brian Taylor,"['Crank', 'Crank: High Voltage', 'Ghost Rider: Spirit of Vengeance', 'Gamer']"
Martin McDonagh,Colin Farrell,"['The Banshees of Inisherin', 'In Bruges', 'Seven Psychopaths']"
Martin Scorsese,Harvey Keitel,"['The Irishman', 'The Last Temptation of Christ', 'Mean Streets']"
Martin Scorsese,Joe Pesci,"['Goodfellas', 'Casino', 'The Irishman', 'Raging Bull']"
Martin Scorsese,Leonardo DiCaprio,"['Killers of the Flower Moon', 'The Wolf of Wall Street', 'The Departed', 'Shutter Island', 'Gangs of New York', 'The Aviator', 'The Wager: A Tale of Shipwreck, Mutiny, and Murder', 'Roosevelt']"
Martin Scorsese,Robert De Niro,"['Killers of the Flower Moon', 'Goodfellas', 'Taxi Driver', 'Casino', 'The Irishman', 'Cape Fear', 'Raging Bull', 'The King of Comedy', 'Mean Streets']"
Marçal Forés,Clara Galle,"['A través de mi ventana', 'A través de tu mirada', 'A través del mar']"
Marçal Forés,Julio Peña,"['A través de mi ventana', 'A través de tu mirada', 'A través del mar']"
Marçal Forés,Natalia Azahara,"['A través de mi ventana', 'A través de tu mirada', 'A través del mar']"
Matt Bettinelli-Olpin,Melissa Barrera,"['Abigail', 'Scream VI', 'Scream']"
Matt Bettinelli-Olpin,Tyler Gillett,"['Abigail', 'Scream VI', 'Ready or Not', 'Scream', 'V/H/S', ""Devil's Due""]"
Matt Reeves,Andy Serkis,"['War for the Planet of the Apes', 'Dawn of the Planet of the Apes', 'The Batman Part II']"
Matthew Vaughn,Colin Firth,"['Kingsman: The Secret Service', 'Kingsman: The Golden Circle', 'Kingsman: The Blue Blood']"
Matthew Vaughn,Taron Egerton,"['Kingsman: The Secret Service', 'Kingsman: The Golden Circle', 'Kingsman: The Blue Blood']"
Mel Brooks,Gene Wilder,"['Blazing Saddles', 'Young Frankenstein', 'The Producers']"
Mel Brooks,Madeline Kahn,"['Young Frankenstein', 'History of the World: Part I', 'High Anxiety']"
Mel Brooks,Mel Brooks,"['Spaceballs', 'History of the World: Part I', 'Dracula: Dead and Loving It', 'High Anxiety']"
Michael Bay,Josh Duhamel,"['Transformers', 'Transformers: The Last Knight', 'Transformers: Revenge of the Fallen', 'Transformers: Dark of the Moon']"
Michael Bay,Mark Wahlberg,"['Transformers: The Last Knight', 'Transformers: Age of Extinction', 'Pain & Gain']"
Michael Bay,Shia LaBeouf,"['Transformers', 'Transformers: Revenge of the Fallen', 'Transformers: Dark of the Moon']"
Michael Bay,Tyrese Gibson,"['Transformers', 'Transformers: Revenge of the Fallen', 'Transformers: Dark of the Moon']"
Michael Mann,Jamie Foxx,"['Collateral', 'Miami Vice', 'Ali']"
Michael Powell,Emeric Pressburger,"['A Matter of Life and Death', 'Black Narcissus', 'The Red Shoes']"
Michael Spierig,Peter Spierig,"['Predestination', 'Jigsaw', 'Daybreakers', 'Winchester']"
Michael Tiddes,Marlon Wayans,"['A Haunted House', 'Fifty Shades of Black', 'A Haunted House 2']"
Michael Winner,Charles Bronson,"['Death Wish', 'Death Wish 3', 'Death Wish II', 'The Mechanic']"
Mikael Håfström,Emily Beecham,"['Stockholm Bloodbath', 'Slingshot', 'Outside the Wire']"
Mike Nichols,Jack Nicholson,"['Carnal Knowledge', 'Wolf', 'Heartburn']"
Mike Nichols,Meryl Streep,"['Silkwood', 'Postcards from the Edge', 'Heartburn']"
Neil Jordan,Liam Neeson,"['Marlowe', 'Michael Collins', 'Breakfast on Pluto']"
Neill Blomkamp,Sharlto Copley,"['District 9', 'Elysium', 'Chappie']"
Nicholas Stoller,Rose Byrne,"['Neighbors', 'Get Him to the Greek', 'Neighbors 2: Sorority Rising']"
Noah Baumbach,Adam Driver,"['Marriage Story', 'White Noise', 'Frances Ha', ""While We're Young""]"
Orson Welles,Orson Welles,"['Citizen Kane', 'Touch of Evil', 'The Lady from Shanghai']"
Park Chan-wook,Song Kang-ho,"['Bakjwi', 'Boksuneun naui geot', 'Gongdong gyeongbi guyeok JSA']"
Paul Feig,Melissa McCarthy,"['Ghostbusters', 'Spy', 'The Heat']"
Paul Greengrass,Matt Damon,"['The Bourne Supremacy', 'Jason Bourne', 'The Bourne Ultimatum', 'Green Zone']"
Paul Thomas Anderson,Philip Seymour Hoffman,"['Magnolia', 'The Master', 'Punch-Drunk Love']"
Paul W.S. Anderson,Milla Jovovich,"['Resident Evil', 'The Three Musketeers', 'Monster Hunter', 'Resident Evil: Retribution', 'Resident Evil: The Final Chapter', 'Resident Evil: Afterlife', 'In the Lost Lands']"
Pedro Almodóvar,Antonio Banderas,"['La piel que habito', 'Átame!', 'Dolor y gloria', 'Mujeres al borde de un ataque de ""nervios""']"
Peter Berg,Mark Wahlberg,"['Patriots Day', 'Lone Survivor', 'Deepwater Horizon', 'Spenser Confidential', 'Mile 22']"
Peter Jackson,Elijah Wood,"['The Lord of the Rings: The Fellowship of the Ring', 'The Lord of the Rings: The Return of the King', 'The Lord of the Rings: The Two Towers']"
Peter Jackson,Ian McKellen,"['The Lord of the Rings: The Fellowship of the Ring', 'The Lord of the Rings: The Return of the King', 'The Lord of the Rings: The Two Towers', 'The Hobbit: An Unexpected Journey', 'The Hobbit: The Desolation of Smaug', 'The Hobbit: The Battle of the Five Armies']"
Peter Jackson,Martin Freeman,"['The Hobbit: An Unexpected Journey', 'The Hobbit: The Desolation of Smaug', 'The Hobbit: The Battle of the Five Armies']"
Peter Jackson,Orlando Bloom,"['The Lord of the Rings: The Fellowship of the Ring', 'The Lord of the Rings: The Return of the King', 'The Lord of the Rings: The Two Towers']"
Peter Jackson,Richard Armitage,"['The Hobbit: An Unexpected Journey', 'The Hobbit: The Desolation of Smaug', 'The Hobbit: The Battle of the Five Armies']"
Peter Segal,Adam Sandler,"['50 First Dates', 'The Longest Yard', 'Anger Management']"
Peyton Reed,Evangeline Lilly,"['Ant-Man and the Wasp: Quantumania', 'Ant-Man', 'Ant-Man and the Wasp']"
Peyton Reed,Paul Rudd,"['Ant-Man and the Wasp: Quantumania', 'Ant-Man', 'Ant-Man and the Wasp']"
Phil Lord,Christopher Miller,"['21 Jump Street', 'Project Hail Mary', 'The Lego Movie', '22 Jump Street', 'Cloudy with a Chance of Meatballs']"
Pier Paolo Pasolini,Franco Citti,"['Il Decameron', 'Il fiore delle mille e una notte', 'I racconti di Canterbury']"
Pier Paolo Pasolini,Ninetto Davoli,"['Il Decameron', 'Il fiore delle mille e una notte', 'I racconti di Canterbury']"
Quentin Tarantino,Brad Pitt,"['Once Upon a Time in... Hollywood', 'Inglourious Basterds', 'The Movie Critic']"
Quentin Tarantino,Michael Madsen,"['Kill Bill: Vol. 1', 'Kill Bill: Vol. 2', 'Reservoir Dogs', 'Kill Bill: The Whole Bloody Affair']"
Quentin Tarantino,Samuel L. Jackson,"['Pulp Fiction', 'The Hateful Eight', 'Jackie Brown']"
Quentin Tarantino,Uma Thurman,"['Pulp Fiction', 'Kill Bill: Vol. 1', 'Kill Bill: Vol. 2', 'Kill Bill: The Whole Bloody Affair']"
Rawson Marshall Thurber,Dwayne Johnson,"['Red Notice', 'Central Intelligence', 'Skyscraper', 'Red Notice 2']"
Renny Harlin,Samuel L. Jackson,"['Deep Blue Sea', 'The Long Kiss Goodnight', 'Cleaner']"
Rian Johnson,Daniel Craig,"['Glass Onion', 'Knives Out', 'Knives Out 3']"
Ric Roman Waugh,Gerard Butler,"['Kandahar', 'Greenland', 'Angel Has Fallen', 'Greenland: Migration']"
Richard Donner,Danny Glover,"['Lethal Weapon', 'Lethal Weapon 2', 'Lethal Weapon 3', 'Lethal Weapon 4']"
Richard Donner,Joe Pesci,"['Lethal Weapon 2', 'Lethal Weapon 3', 'Lethal Weapon 4']"
Richard Donner,Mel Gibson,"['Lethal Weapon', 'Maverick', 'Lethal Weapon 2', 'Lethal Weapon 3', 'Conspiracy Theory', 'Lethal Weapon 4']"
Richard Linklater,Ethan Hawke,"['Before Sunrise', 'Before Sunset', 'Boyhood', 'Before Midnight', 'Waking Life']"
Richard Linklater,Julie Delpy,"['Before Sunrise', 'Before Sunset', 'Before Midnight']"
Ridley Scott,Michael Fassbender,"['Prometheus', 'Alien: Covenant', 'The Counselor']"
Ridley Scott,Russell Crowe,"['Gladiator', 'American Gangster', 'Robin Hood', 'Body of Lies', 'A Good Year']"
Ridley Scott,Sigourney Weaver,"['Alien', 'Exodus: Gods and Kings', '1492: Conquest of Paradise']"
Rob Zombie,Bill Moseley,"['House of 1000 Corpses', ""The Devil's Rejects"", '3 from Hell']"
Rob Zombie,Jeff Daniel Phillips,"['3 from Hell', 'The Munsters', '31', 'The Lords of Salem']"
Rob Zombie,Malcolm McDowell,"['Halloween', '31', 'Halloween II']"
Rob Zombie,Sheri Moon Zombie,"['House of 1000 Corpses', ""The Devil's Rejects"", '3 from Hell', 'The Munsters', '31', 'The Lords of Salem', 'Halloween II']"
Rob Zombie,Sid Haig,"['House of 1000 Corpses', ""The Devil's Rejects"", '3 from Hell']"
Robert Altman,Shelley Duvall,"['Popeye', 'Nashville', '3 Women']"
Robert Clouse,Bruce Lee,"['Enter the Dragon', 'Game of Death', 'Game of Death']"
Robert Redford,Robert Redford,"['The Horse Whisperer', 'Lions for Lambs', 'The Company You Keep']"
Robert Rodriguez,Alexa PenaVega,"['Spy Kids', 'Spy Kids 3: Game Over', 'Spy Kids 2: Island of Lost Dreams', 'Machete Kills']"
Robert Rodriguez,Antonio Banderas,"['Spy Kids', 'Desperado', 'Spy Kids 3: Game Over', 'Once Upon a Time in Mexico', 'Spy Kids 2: Island of Lost Dreams']"
Robert Rodriguez,Carla Gugino,"['Spy Kids', 'Spy Kids 3: Game Over', 'Spy Kids 2: Island of Lost Dreams']"
Robert Rodriguez,Daryl Sabara,"['Spy Kids', 'Spy Kids 3: Game Over', 'Spy Kids 2: Island of Lost Dreams']"
Robert Stevenson,David Tomlinson,"['Mary Poppins', 'Bedknobs and Broomsticks', 'The Love Bug']"
Robert Zemeckis,Christopher Lloyd,"['Back to the Future', 'Who Framed Roger Rabbit', 'Back to the Future Part II', 'Back to the Future Part III']"
Robert Zemeckis,Michael J. Fox,"['Back to the Future', 'Back to the Future Part II', 'Back to the Future Part III']"
Robert Zemeckis,Robin Wright,"['Forrest Gump', 'Beowulf', 'Here']"
Robert Zemeckis,Tom Hanks,"['Forrest Gump', 'Cast Away', 'Pinocchio', 'Here', 'The Polar Express']"
Roger Kumble,Dylan Sprouse,"['After We Collided', 'Beautiful Disaster', 'Beautiful Wedding']"
Roman Polanski,Emmanuelle Seigner,"['Bitter Moon', 'The Ninth Gate', 'Frantic', 'La Vénus à la fourrure']"
Ron Clements,John Musker,"['Moana', 'Hercules', 'Aladdin', 'The Princess and the Frog', 'The Little Mermaid', 'Treasure Planet', 'The Great Mouse Detective']"
Ron Howard,Tom Hanks,"['Apollo 13', 'The Da Vinci Code', 'Angels & Demons', 'Splash', 'Inferno']"
Ruben Fleischer,Emma Stone,"['Zombieland', 'Zombieland: Double Tap', 'Gangster Squad']"
Ruben Fleischer,Jesse Eisenberg,"['Zombieland', 'Zombieland: Double Tap', '30 Minutes or Less']"
Ruben Fleischer,Woody Harrelson,"['Zombieland', 'Now You See Me 3', 'Zombieland: Double Tap']"
Ryan Coogler,Michael B. Jordan,"['Black Panther', 'Creed', 'Untitled Ryan Coogler / Michael B. Jordan Film', 'Fruitvale Station']"
Sam Raimi,Bruce Campbell,"['The Evil Dead', 'Army of Darkness', 'Evil Dead II']"
Sam Raimi,James Franco,"['Spider-Man', 'Spider-Man 2', 'Oz the Great and Powerful']"
Sam Raimi,Kirsten Dunst,"['Spider-Man', 'Spider-Man 3', 'Spider-Man 2']"
Sam Raimi,Tobey Maguire,"['Spider-Man', 'Spider-Man 3', 'Spider-Man 2']"
Sanjay Leela Bhansali,Deepika Padukone,"['Bajirao Mastani', 'Padmaavat', 'Goliyon Ki Raasleela Ram-leela']"
Sanjay Leela Bhansali,Ranveer Singh,"['Bajirao Mastani', 'Padmaavat', 'Goliyon Ki Raasleela Ram-leela']"
Scott Derrickson,Ethan Hawke,"['The Black Phone', 'Sinister', 'The Black Phone 2']"
Sean Anders,Mark Wahlberg,"['Instant Family', ""Daddy's Home 2"", ""Daddy's Home""]"
Sean Anders,Will Ferrell,"[""Daddy's Home 2"", ""Daddy's Home"", 'Spirited']"
Sean McNamara,Dennis Quaid,"['Reagan', 'Soul Surfer', 'On a Wing and a Prayer']"
Sergio Leone,Clint Eastwood,"['Il buono, il brutto, il cattivo', 'Per qualche dollaro in più', 'Per un pugno di dollari']"
Seth MacFarlane,Seth MacFarlane,"['Ted', 'Ted 2', 'A Million Ways to Die in the West']"
Shari Springer Berman,Robert Pulcini,"['Things Heard & Seen', 'The Nanny Diaries', 'American Splendor']"
Shawn Levy,Ben Stiller,"['Night at the Museum', 'Night at the Museum: Battle of the Smithsonian', 'Night at the Museum: Secret of the Tomb']"
Shawn Levy,Owen Wilson,"['Night at the Museum: Battle of the Smithsonian', 'The Internship', 'Night at the Museum: Secret of the Tomb']"
Shawn Levy,Ryan Reynolds,"['Deadpool & Wolverine', 'Free Guy', 'The Adam Project']"
Sofia Coppola,Kirsten Dunst,"['The Virgin Suicides', 'Marie Antoinette', 'The Beguiled']"
Spike Lee,Denzel Washington,"['Inside Man', 'He Got Game', 'Malcolm X', 'High and Low']"
Stanley Kramer,Spencer Tracy,"[""It's a Mad, Mad, Mad, Mad World"", 'Judgment at Nuremberg', ""Guess Who's Coming to Dinner"", 'Inherit the Wind']"
Steve McQueen,Michael Fassbender,"['Shame', '12 Years a Slave', 'Hunger']"
Steven Brill,Adam Sandler,"['Mr. Deeds', 'Little Nicky', 'The Do-Over', 'Hubie Halloween', 'Sandy Wexler']"
Steven Soderbergh,Benicio Del Toro,"['Traffic', 'No Sudden Move', 'Che: Part One']"
Steven Soderbergh,Brad Pitt,"[""Ocean's Eleven"", ""Ocean's Twelve"", ""Ocean's Thirteen""]"
Steven Soderbergh,Catherine Zeta-Jones,"['Traffic', ""Ocean's Twelve"", 'Side Effects']"
Steven Soderbergh,Channing Tatum,"['Magic Mike', 'Logan Lucky', ""Magic Mike's Last Dance"", 'Side Effects']"
Steven Soderbergh,George Clooney,"[""Ocean's Eleven"", ""Ocean's Twelve"", 'Out of Sight', ""Ocean's Thirteen"", 'Solaris']"
Steven Soderbergh,Julia Roberts,"[""Ocean's Eleven"", 'Erin Brockovich', ""Ocean's Twelve""]"
Steven Soderbergh,Matt Damon,"[""Ocean's Eleven"", 'Contagion', ""Ocean's Thirteen"", 'Behind the Candelabra', 'The Informant!']"
Steven Spielberg,Harrison Ford,"['Raiders of the Lost Ark', 'Indiana Jones and the Last Crusade', 'Indiana Jones and the Temple of Doom', 'Indiana Jones and the Kingdom of the Crystal Skull']"
Steven Spielberg,Richard Dreyfuss,"['Jaws', 'Close Encounters of the Third Kind', 'Always']"
Steven Spielberg,Tom Hanks,"['Saving Private Ryan', 'Catch Me If You Can', 'The Terminal', 'Bridge of Spies', 'The Post']"
Sydney Pollack,Robert Redford,"['Out of Africa', 'Three Days of the Condor', 'Jeremiah Johnson', 'The Way We Were']"
Sylvester Stallone,Burt Young,"['Rocky IV', 'Rocky III', 'Rocky Balboa', 'Rocky II']"
Sylvester Stallone,Carl Weathers,"['Rocky IV', 'Rocky III', 'Rocky II']"
Sylvester Stallone,Sylvester Stallone,"['Rocky IV', 'The Expendables', 'Rambo', 'Rocky III', 'Rocky Balboa', 'Rocky II']"
Sylvester Stallone,Talia Shire,"['Rocky IV', 'Rocky III', 'Rocky II']"
Terence Young,Sean Connery,"['Dr. No', 'From Russia with Love', 'Thunderball']"
Thomas Vinterberg,Thomas Bo Larsen,"['Jagten', 'Druk', 'Festen']"
Ti West,Mia Goth,"['X', 'Pearl', 'MaXXXine']"
Tim Burton,Eva Green,"[""Miss Peregrine's Home for Peculiar Children"", 'Dark Shadows', 'Dumbo']"
Tim Burton,Helena Bonham Carter,"['Planet of the Apes', 'Charlie and the Chocolate Factory', 'Alice in Wonderland', 'Sweeney Todd: The Demon Barber of Fleet Street', 'Dark Shadows', 'Corpse Bride']"
Tim Burton,Johnny Depp,"['Charlie and the Chocolate Factory', 'Alice in Wonderland', 'Edward Scissorhands', 'Sweeney Todd: The Demon Barber of Fleet Street', 'Sleepy Hollow', 'Dark Shadows', 'Corpse Bride', 'Ed Wood']"
Tim Burton,Michael Keaton,"['Beetlejuice Beetlejuice', 'Beetlejuice', 'Batman', 'Batman Returns', 'Dumbo']"
Tim Burton,Winona Ryder,"['Beetlejuice Beetlejuice', 'Edward Scissorhands', 'Frankenweenie']"
Tim Story,Ice Cube,"['Ride Along', 'Ride Along 2', 'Barbershop']"
Tim Story,Kevin Hart,"['Ride Along', 'Think Like a Man', 'Ride Along 2', 'Think Like a Man Too']"
Tinto Brass,Franco Branciaroli,"['Così fan tutte', 'La chiave', ""Senso '45""]"
Tinto Brass,Max Parodi,"['Tra(sgre)dire', 'Monamour', 'Monella']"
Tinto Brass,Teresa Ann Savoy,"['Caligola', 'Salon Kitty', 'Caligula: The Ultimate Cut']"
Todd Haynes,Julianne Moore,"['May December', 'Far from Heaven', 'Safe']"
Todd Phillips,Bradley Cooper,"['The Hangover', 'The Hangover Part II', 'The Hangover Part III']"
Todd Phillips,Ed Helms,"['The Hangover', 'The Hangover Part II', 'The Hangover Part III']"
Todd Phillips,Justin Bartha,"['The Hangover', 'The Hangover Part II', 'The Hangover Part III']"
Todd Phillips,Zach Galifianakis,"['The Hangover', 'The Hangover Part II', 'The Hangover Part III', 'Due Date']"
Tom Shadyac,Jim Carrey,"['Liar Liar', 'Ace Ventura: Pet Detective', 'Bruce Almighty']"
Tony Scott,Denzel Washington,"['Man on Fire', 'Deja Vu', 'Unstoppable', 'Crimson Tide', 'The Taking of Pelham 123']"
Tony Scott,Val Kilmer,"['Top Gun', 'True Romance', 'Deja Vu']"
Trey Parker,Trey Parker,"['Team America: World Police', 'Orgazmo', 'South Park: Bigger, Longer & Uncut']"
Tyler Perry,Tyler Perry,"[""Madea's Family Reunion"", 'Why Did I Get Married?', 'Madea Goes to Jail', 'A Madea Family Funeral', 'A Madea Homecoming']"
Vince Marcello,Jacob Elordi,"['The Kissing Booth', 'The Kissing Booth 3', 'The Kissing Booth 2']"
Vince Marcello,Joel Courtney,"['The Kissing Booth', 'The Kissing Booth 3', 'The Kissing Booth 2']"
Vince Marcello,Joey King,"['The Kissing Booth', 'The Kissing Booth 3', 'The Kissing Booth 2']"
Walter Hill,Nick Nolte,"['48 Hrs.', 'Extreme Prejudice', 'Another 48 Hrs.']"
Warren Beatty,Warren Beatty,"['Dick Tracy', 'Heaven Can Wait', 'Reds']"
Werner Herzog,Klaus Kinski,"['Nosferatu - Phantom der Nacht', 'Aguirre, der Zorn Gottes', 'Fitzcarraldo']"
Wes Anderson,Adrien Brody,"['The Grand Budapest Hotel', 'The French Dispatch of the Liberty, Kansas Evening Sun', 'The Darjeeling Limited']"
Wes Anderson,Bill Murray,"['Fantastic Mr. Fox', 'Moonrise Kingdom', 'Rushmore', 'The Life Aquatic with Steve Zissou', 'The Phoenician Scheme']"
Wes Anderson,Jason Schwartzman,"['Asteroid City', 'Fantastic Mr. Fox', 'Rushmore', 'The Darjeeling Limited']"
Wes Anderson,Owen Wilson,"['The Life Aquatic with Steve Zissou', 'The Darjeeling Limited', 'Bottle Rocket']"
Wes Ball,Dylan O'Brien,"['The Maze Runner', 'Maze Runner: The Death Cure', 'Maze Runner: The Scorch Trials']"
Wes Ball,Kaya Scodelario,"['The Maze Runner', 'Maze Runner: The Death Cure', 'Maze Runner: The Scorch Trials']"
Wes Ball,Thomas Brodie-Sangster,"['The Maze Runner', 'Maze Runner: The Death Cure', 'Maze Runner: The Scorch Trials', 'Mouse Guard']"
Wes Craven,Courteney Cox,"['Scream', 'Scream 4', 'Scream 2', 'Scream 3']"
Wes Craven,David Arquette,"['Scream', 'Scream 4', 'Scream 2', 'Scream 3']"
Wes Craven,Heather Langenkamp,"['A Nightmare on Elm Street', ""Wes Craven's New Nightmare"", 'Shocker']"
Wes Craven,Neve Campbell,"['Scream', 'Scream 4', 'Scream 2', 'Scream 3']"
William Wyler,Audrey Hepburn,"['Roman Holiday', ""The Children's Hour"", 'How to Steal a Million']"
Wilson Yip,Donnie Yen,"['Ip Man', 'Yip Man 4', 'Yip Man 2']"
Wolfgang Reitherman,Phil Harris,"['The Jungle Book', 'Robin Hood', 'The AristoCats']"
Woody Allen,Scarlett Johansson,"['Vicky Cristina Barcelona', 'Match Point', 'Scoop']"
Woody Allen,Woody Allen,"['Annie Hall', 'Manhattan', 'Everyone Says I Love You', 'Mighty Aphrodite', 'Deconstructing Harry', 'Crimes and Misdemeanors']"
Yorgos Lanthimos,Emma Stone,"['Poor Things', 'Kinds of Kindness', 'The Favourite']"
Zack Snyder,Amy Adams,"['Man of Steel', ""Zack Snyder's Justice League"", 'Batman v Superman: Dawn of Justice']"
Zack Snyder,Ben Affleck,"[""Zack Snyder's Justice League"", 'Batman v Superman: Dawn of Justice', 'Justice League']"
Zack Snyder,Henry Cavill,"['Man of Steel', ""Zack Snyder's Justice League"", 'Batman v Superman: Dawn of Justice']"
